time     ke      pe    etot  momentum diffCoeff temp 
0.0 1.90283250908e-23 -7.10812119813e-19 -7.10793091488e-19 4.33680868994e-18 0.0 0.0085184306733
0.1 4.33183030553e-23 -7.1082419608e-19 -7.10780877777e-19 6.93889390391e-18 14877952544.6 0.019392351124
0.201 4.97462425731e-23 -7.10827333377e-19 -7.10777587134e-19 9.06393016198e-17 35875588001.5 0.0222699536924
0.3 5.40898771528e-23 -7.10829455137e-19 -7.1077536526e-19 1.05384451166e-16 53909325004.1 0.0242144732369
0.4 6.92898862779e-23 -7.10836993162e-19 -7.10767703276e-19 7.97972798949e-17 68491339467.1 0.0310190776016
0.5 8.11985104263e-23 -7.10842850552e-19 -7.10761652042e-19 8.41340885849e-17 82667492558.6 0.0363502241287
0.6 8.4792543152e-23 -7.10844559145e-19 -7.10759766601e-19 1.66533453694e-16 96726386185.8 0.0379591686083
0.7 9.53288804799e-23 -7.10849737424e-19 -7.10754408543e-19 1.73472347598e-16 109083018190.0 0.0426759820246
0.8 9.93942754711e-23 -7.10851640196e-19 -7.1075224592e-19 1.12757025938e-16 119929110984.0 0.0444959417544
0.901 8.07547289243e-23 -7.10842192538e-19 -7.10761437809e-19 1.21430643318e-17 128185830636.0 0.0361515559883
1.001 7.11003288378e-23 -7.10837289733e-19 -7.10766189404e-19 1.73472347598e-17 129951950516.0 0.0318295603615
1.101 8.96013724757e-23 -7.10846448389e-19 -7.10756847016e-19 4.33680868994e-18 124675598612.0 0.040111942382
1.201 1.07602716905e-22 -7.10855313714e-19 -7.10747710998e-19 8.89045781438e-17 116060211720.0 0.0481706235228
1.301 1.06910379647e-22 -7.10854829005e-19 -7.10747918625e-19 1.2056328158e-16 107070026948.0 0.0478606841609
1.401 1.03532472993e-22 -7.10853028811e-19 -7.10749496338e-19 3.81639164715e-17 97910917483.2 0.0463484930712
1.501 1.01206079858e-22 -7.10851742129e-19 -7.1075053605e-19 8.32667268469e-17 88347133425.3 0.0453070341647
1.601 8.88945914905e-23 -7.10845457145e-19 -7.10756562553e-19 5.89805981832e-17 78248160224.7 0.0397955369814
1.701 8.11904048295e-23 -7.10841508095e-19 -7.1076031769e-19 1.28369537222e-16 66859523450.2 0.0363465954874
1.801 9.07602554687e-23 -7.10846190869e-19 -7.10755430614e-19 1.70870262384e-16 54277172230.9 0.0406307407727
1.901 1.01827263717e-22 -7.10851595493e-19 -7.1074976823e-19 1.39862080251e-16 42179286971.9 0.0455851202084
2.001 1.03843981986e-22 -7.10852489435e-19 -7.10748645453e-19 7.6327832943e-17 32183157558.3 0.0464879466358
