time     ke      pe    etot  momentum diffCoeff temp 
0.0 2.32889642935e-19 -7.10821224152e-19 -4.77931581217e-19 0.0 0.0 104.257955885
0.1 1.31433157734e-19 -6.59516805593e-19 -5.28083647859e-19 -2.1302404285e-15 9.28730089001e+13 58.8388224918
0.201 6.76501539325e-20 -6.27385252502e-19 -5.5973509857e-19 -1.58206781009e-15 1.02225029726e+14 30.2850168664
0.3 1.0678935571e-19 -6.46480112185e-19 -5.39690756475e-19 -3.96904731303e-15 7.42861506837e+13 47.8065052455
0.4 1.16995783599e-19 -6.51162487673e-19 -5.34166704074e-19 -1.83186799063e-15 5.20080570073e+13 52.3756277497
0.5 1.32400640721e-19 -6.58468388966e-19 -5.26067748245e-19 3.33066907388e-16 3.68268340781e+13 59.2719366367
0.6 1.36895693473e-19 -6.60294668346e-19 -5.23398974873e-19 2.52575738102e-15 2.92503860641e+13 61.2842417166
0.7 1.2643638037e-19 -6.54632024571e-19 -5.281956442e-19 1.11022302463e-15 2.71684597547e+13 56.6019098176
0.8 1.06504658435e-19 -6.44273582978e-19 -5.37768924543e-19 1.29063426613e-15 2.58763334505e+13 47.6790545113
0.901 1.17631327665e-19 -6.49437831738e-19 -5.31806504073e-19 -1.66533453694e-16 2.15988063209e+13 52.6601424426
1.001 1.30989249714e-19 -6.55709190474e-19 -5.2471994076e-19 3.16413562018e-15 1.67586712736e+13 58.6400977129
1.101 1.44293418716e-19 -6.61936775364e-19 -5.17643356647e-19 2.32452945781e-15 1.35780405539e+13 64.5959892994
1.201 1.33746917813e-19 -6.56201240346e-19 -5.22454322533e-19 4.32986979604e-15 1.32309843657e+13 59.8746259446
1.301 1.30252141867e-19 -6.54036440621e-19 -5.23784298754e-19 3.49720252757e-15 1.40634967395e+13 58.3101158536
1.401 1.20252719952e-19 -6.48579699756e-19 -5.28326979804e-19 5.37070388162e-15 1.49673520489e+13 53.8336639352
1.501 1.13700511535e-19 -6.44857164576e-19 -5.31156653041e-19 4.66987559733e-15 1.46840473892e+13 50.9004297755
1.601 1.34021979662e-19 -6.54530775035e-19 -5.20508795373e-19 9.9503738582e-15 1.29065791352e+13 59.9977631767
1.701 1.34063075127e-19 -6.54083492141e-19 -5.20020417014e-19 1.20320420294e-14 1.15716081733e+13 60.0161604279
1.801 1.3661774195e-19 -6.54876384198e-19 -5.18258642248e-19 9.42301792151e-15 1.09093577936e+13 61.1598108604
1.901 1.28176536469e-19 -6.50190125293e-19 -5.22013588824e-19 9.9364960704e-15 1.0767621997e+13 57.3809273621
2.001 1.29746937881e-19 -6.50487422164e-19 -5.20740484284e-19 1.08801856413e-14 1.04334362065e+13 58.0839506441
2.101 1.34034400873e-19 -6.52169045417e-19 -5.18134644544e-19 8.99280649946e-15 9.90458618422e+12 60.0033237939
2.201 1.42571805655e-19 -6.55918067769e-19 -5.13346262113e-19 1.08801856413e-14 9.4799453095e+12 63.8252729364
2.301 1.37069124053e-19 -6.52639522347e-19 -5.15570398294e-19 1.27675647832e-14 9.73176060248e+12 61.3618815701
2.401 1.31718822468e-19 -6.49504006622e-19 -5.17785184154e-19 1.4155343564e-14 1.01775610543e+13 58.966706329
2.501 1.30507284527e-19 -6.48384599736e-19 -5.17877315209e-19 1.06026298852e-14 1.04807667322e+13 58.4243358414
2.601 1.27280304525e-19 -6.46272395185e-19 -5.1899209066e-19 1.02140518266e-14 1.05399133457e+13 56.9797102477
2.701 1.31933194494e-19 -6.48114379234e-19 -5.1618118474e-19 1.01862962509e-14 1.01107735803e+13 59.0626744838
2.801 1.40940970386e-19 -6.52176538776e-19 -5.1123556839e-19 9.79771819232e-15 9.6050010676e+12 63.0951951648
2.901 1.34252504138e-19 -6.48381165763e-19 -5.14128661625e-19 9.13852327145e-15 9.53326717653e+12 60.1009623161
3.001 1.32941879262e-19 -6.47277034149e-19 -5.14335154887e-19 1.13797860024e-14 9.47756552499e+12 59.514233474
3.101 1.43486003034e-19 -6.52047583115e-19 -5.08561580081e-19 1.20459198172e-14 9.25648797423e+12 64.234532656
3.201 1.37144139551e-19 -6.48368620905e-19 -5.11224481354e-19 1.33504318711e-14 9.23244562781e+12 61.3954638384
3.301 1.46401278426e-19 -6.5249178134e-19 -5.06090502914e-19 1.48908663178e-14 9.18391597879e+12 65.5396171133
3.401 1.36269041841e-19 -6.46899788529e-19 -5.10630746688e-19 9.10382880193e-15 9.4407565827e+12 61.0037079094
3.501 1.39780297118e-19 -6.4819976565e-19 -5.08419468533e-19 7.49400541622e-15 9.59991195233e+12 62.5755953196
3.601 1.42915732618e-19 -6.49265692041e-19 -5.06349959423e-19 1.29063426613e-14 9.81990208955e+12 63.9792390882
3.701 1.33415480532e-19 -6.44073556306e-19 -5.10658075775e-19 1.24622534514e-14 1.01432708585e+13 59.7262510617
3.801 1.42269916109e-19 -6.47994169749e-19 -5.0572425364e-19 1.32290012278e-14 1.0233332986e+13 63.6901257201
3.9 1.40618809437e-19 -6.46743255637e-19 -5.06124446199e-19 1.07414077632e-14 1.04141121974e+13 62.9509730279
4.0 1.25417231985e-19 -6.38668144013e-19 -5.13250912028e-19 9.49240686055e-15 1.05259391803e+13 56.1456665684
4.1 1.37876663008e-19 -6.44411711012e-19 -5.06535048004e-19 8.881784197e-15 1.00707208448e+13 61.7233933988
4.2 1.44999788988e-19 -6.47479422621e-19 -5.02479633633e-19 5.3290705182e-15 9.41353792136e+12 64.9122108353
4.3 1.54606162395e-19 -6.5176544987e-19 -4.97159287475e-19 6.80011602583e-15 8.94416853193e+12 69.2127063073
4.4 1.54377301051e-19 -6.51134856079e-19 -4.96757555028e-19 4.60742555219e-15 8.95729362848e+12 69.1102517044
4.5 1.40397990543e-19 -6.43572761405e-19 -5.03174770861e-19 5.55111512313e-15 9.23083053196e+12 62.8521187971
4.6 1.45818758347e-19 -6.45688854549e-19 -4.99870096202e-19 6.2172489379e-15 9.23846167791e+12 65.2788397254
4.7 1.55028752223e-19 -6.49699002471e-19 -4.94670250247e-19 8.32667268469e-15 9.22812082446e+12 69.4018875484
4.8 1.45271193226e-19 -6.44297467045e-19 -4.99026273819e-19 6.32827124036e-15 9.51106945604e+12 65.0337106613
4.9 1.41534967238e-19 -6.41866619061e-19 -5.00331651823e-19 1.04360964315e-14 9.77116946778e+12 63.3611103719
5.0 1.41603619943e-19 -6.41391857439e-19 -4.99788237496e-19 7.38298311376e-15 9.73478521314e+12 63.3918442017
5.1 1.63360144329e-19 -6.51697320601e-19 -4.88337176272e-19 8.79851747015e-15 9.51935123728e+12 73.1316107756
5.2 1.43611212974e-19 -6.41272966202e-19 -4.97661753228e-19 5.27355936697e-15 9.74218930699e+12 64.2905855241
5.3 1.46437250931e-19 -6.42155070629e-19 -4.95717819698e-19 8.21565038223e-15 9.82221679499e+12 65.5557209632
5.4 1.5161660613e-19 -6.44148851679e-19 -4.92532245549e-19 1.32671651443e-14 9.78455092419e+12 67.8743684522
5.5 1.54988248812e-19 -6.45315911178e-19 -4.90327662366e-19 1.07414077632e-14 9.79665337277e+12 69.383755343
5.6 1.45679266444e-19 -6.40090179617e-19 -4.94410913173e-19 1.01585406753e-14 9.89661344124e+12 65.2163932361
5.7 1.58059351861e-19 -6.45769267184e-19 -4.87709915323e-19 1.06026298852e-14 9.90353868058e+12 70.7585993342
5.8 1.583401435e-19 -6.45346399919e-19 -4.87006256419e-19 1.09912079438e-14 1.00798431038e+13 70.8843016276
5.9 1.4687764427e-19 -6.39067168594e-19 -4.92189524323e-19 9.13158437754e-15 1.03965475377e+13 65.7528723209
6.0 1.52227030652e-19 -6.41134491757e-19 -4.88907461105e-19 1.00752739485e-14 1.06053127901e+13 68.147637852
6.1 1.49732393503e-19 -6.39309694559e-19 -4.89577301057e-19 1.13242748512e-14 1.0813712196e+13 67.0308609674
6.2 1.43401778133e-19 -6.35559824426e-19 -4.92158046293e-19 1.57929225253e-14 1.08820163255e+13 64.1968276043
6.3 1.6027469508e-19 -6.43444576284e-19 -4.83169881204e-19 1.42663658664e-14 1.06946570577e+13 71.7503444056
6.4 1.65408741143e-19 -6.45452150134e-19 -4.80043408991e-19 1.68753899743e-14 1.06604872224e+13 74.0487083053
6.5 1.46501173602e-19 -6.35431933878e-19 -4.88930760276e-19 1.47104550763e-14 1.08698180572e+13 65.5843372935
6.6 1.50156570736e-19 -6.36677519704e-19 -4.86520948967e-19 1.35169653248e-14 1.08458688406e+13 67.2207528437
6.7 1.66210251807e-19 -6.44129612949e-19 -4.77919361143e-19 1.58761892521e-14 1.06780228066e+13 74.4075214425
6.8 1.61640099464e-19 -6.41325519589e-19 -4.79685420125e-19 1.31006316906e-14 1.07539626978e+13 72.3615964483
6.9 1.58191810518e-19 -6.39061207628e-19 -4.8086939711e-19 1.18238752123e-14 1.09427478925e+13 70.817897243
7.0 1.54789722774e-19 -6.36741271645e-19 -4.81951548871e-19 1.12687636999e-14 1.11197057521e+13 69.2948809787
7.1 1.54020941728e-19 -6.35733557024e-19 -4.81712615296e-19 9.54791801178e-15 1.11840717048e+13 68.9507199445
7.2 1.59804463694e-19 -6.3800144681e-19 -4.78196983115e-19 7.04991620637e-15 1.10647805961e+13 71.5398354176
7.3 1.73626073555e-19 -6.44283927466e-19 -4.70657853911e-19 3.77475828373e-15 1.09688180491e+13 77.7273703073
7.4 1.56806370191e-19 -6.35282555179e-19 -4.78476184988e-19 4.60742555219e-15 1.11282724098e+13 70.1976756877
7.5 1.50389655403e-19 -6.31449367046e-19 -4.81059711643e-19 4.16333634234e-15 1.11751571361e+13 67.3250981062
7.6 1.78762958211e-19 -6.45001195854e-19 -4.66238237643e-19 7.77156117238e-15 1.09552854737e+13 80.0270049629
7.7 1.6850107167e-19 -6.39171306484e-19 -4.70670234814e-19 2.58126853225e-15 1.09983923204e+13 75.4330552242
7.8 1.71919459968e-19 -6.40250095069e-19 -4.683306351e-19 3.16413562018e-15 1.11472266622e+13 76.9633687751
7.9 1.74103331782e-19 -6.40624910074e-19 -4.66521578293e-19 3.38618022511e-15 1.13719135478e+13 77.9410250087
8.0 1.63062180123e-19 -6.34410311847e-19 -4.71348131724e-19 -1.66533453694e-15 1.17172850019e+13 72.9982208204
8.1 1.6783889537e-19 -6.36140113286e-19 -4.68301217916e-19 -8.04911692853e-16 1.19822920624e+13 75.1366180508
8.2 1.49088087171e-19 -6.26077619397e-19 -4.76989532226e-19 3.28903571045e-15 1.22105960755e+13 66.7424236619
8.3 1.65267051592e-19 -6.33487427978e-19 -4.68220376386e-19 5.89805981832e-15 1.21240399451e+13 73.9852779925
8.4 1.74065027273e-19 -6.37165539758e-19 -4.63100512485e-19 9.74220704109e-15 1.19090803383e+13 77.9238771883
8.5 1.88514460527e-19 -6.43703148707e-19 -4.5518868818e-19 7.75768338457e-15 1.17908950248e+13 84.3924704491
8.6 1.75717140772e-19 -6.36668035367e-19 -4.60950894595e-19 7.60502771868e-15 1.20281176671e+13 78.6634806079
8.7 1.68874431978e-19 -6.32608889687e-19 -4.63734457709e-19 6.16173778667e-15 1.23724721115e+13 75.6001978333
8.8 1.66885094559e-19 -6.3093155224e-19 -4.64046457681e-19 5.70377078901e-15 1.26313963598e+13 74.7096290203
8.9 1.68014108695e-19 -6.30799984867e-19 -4.62785876172e-19 7.4662498406e-15 1.27667245155e+13 75.2150559878
9.0 1.75641860417e-19 -6.33976993451e-19 -4.58335133034e-19 7.1054273576e-15 1.27619785634e+13 78.6297797706
9.1 1.77621159981e-19 -6.34257855371e-19 -4.5663669539e-19 9.35362898247e-15 1.27719618837e+13 79.5158549266
9.2 1.72873427163e-19 -6.31171348474e-19 -4.58297921311e-19 9.65894031424e-15 1.28697674021e+13 77.3904322908
9.3 1.77708535047e-19 -6.32910225832e-19 -4.55201690785e-19 1.06581410364e-14 1.29319728683e+13 79.5549702156
9.4 1.83777395313e-19 -6.35291841389e-19 -4.51514446075e-19 1.07691633389e-14 1.29533647582e+13 82.2718233912
9.5 1.81077217075e-19 -6.3318178297e-19 -4.52104565895e-19 1.02695629778e-14 1.308140715e+13 81.0630317072
9.6 1.79188077308e-19 -6.31558353958e-19 -4.5237027665e-19 6.82787160144e-15 1.32496650945e+13 80.2173184845
9.7 1.7425952865e-19 -6.28353991735e-19 -4.54094463085e-19 4.71844785466e-15 1.33886621437e+13 78.0109498283
9.8 1.82013640055e-19 -6.3155689527e-19 -4.49543255215e-19 4.66293670343e-15 1.34523199689e+13 81.4822411857
9.9 1.82516934156e-19 -6.31066035318e-19 -4.48549101162e-19 3.38618022511e-15 1.35329518934e+13 81.7075513949
