time     ke      pe    etot  momentum diffCoeff temp 
0.0 2.37357764955e-19 -7.23950969518e-19 -4.86593204563e-19 -1.94289029309e-16 0.0 106.258204855
0.1 1.00583320286e-19 -6.54790532555e-19 -5.54207212268e-19 4.12864187282e-16 8.60235699304e+13 45.0282427204
0.201 9.58556224169e-20 -6.52043284025e-19 -5.56187661608e-19 2.01227923213e-15 7.86414149211e+13 42.9117891517
0.3 1.06055468797e-19 -6.5645657976e-19 -5.50401110963e-19 2.04003480775e-15 5.71922194638e+13 47.4779653051
0.4 1.20344587574e-19 -6.63055929051e-19 -5.42711341477e-19 2.77555756156e-16 3.91723222875e+13 53.8747904121
0.5 1.3954815963e-19 -6.7203923833e-19 -5.324910787e-19 2.02615701994e-15 2.7124304948e+13 62.471674082
0.6 1.14273663238e-19 -6.58841736039e-19 -5.44568072801e-19 1.49880108324e-15 2.22709711925e+13 51.1570132122
0.7 1.31795673309e-19 -6.67023189479e-19 -5.3522751617e-19 2.17881268583e-15 1.72227825426e+13 59.0011102273
0.8 1.37846518722e-19 -6.69475721518e-19 -5.31629202796e-19 4.57966997658e-15 1.43215496062e+13 61.7098986742
0.901 1.36704493526e-19 -6.68255558646e-19 -5.31551065119e-19 5.55111512313e-15 1.433798651e+13 61.1986470317
1.001 1.24790659689e-19 -6.61683281046e-19 -5.36892621357e-19 5.82867087928e-15 1.58281446182e+13 55.8651682776
1.101 1.29669627611e-19 -6.63484241077e-19 -5.33814613466e-19 3.38618022511e-15 1.65590549777e+13 58.049341073
1.201 1.04548998708e-19 -6.50227130753e-19 -5.45678132045e-19 3.08086889333e-15 1.6778819477e+13 46.8035622266
1.301 1.38061071244e-19 -6.66336343066e-19 -5.28275271821e-19 2.35922392733e-15 1.4275037302e+13 61.8059476316
1.401 1.39014841572e-19 -6.66097575098e-19 -5.27082733526e-19 3.46944695195e-15 1.25031542251e+13 62.2329230157
1.501 1.32641319711e-19 -6.6225645853e-19 -5.29615138819e-19 5.92581539394e-15 1.19410111758e+13 59.379681658
1.601 1.43936069715e-19 -6.6721099819e-19 -5.23274928475e-19 7.2858385991e-15 1.17405520407e+13 64.4360144895
1.701 1.24854739644e-19 -6.56962799893e-19 -5.32108060249e-19 7.38298311376e-15 1.24555364974e+13 55.8938550197
1.801 1.39429407252e-19 -6.63606840347e-19 -5.24177433095e-19 8.63198401646e-15 1.23148078217e+13 62.4185120775
1.901 1.5019492473e-19 -6.68230867799e-19 -5.18035943069e-19 7.32747196253e-15 1.2607263765e+13 67.2379228174
2.001 1.15891320516e-19 -6.50448891177e-19 -5.3455757066e-19 9.7699626167e-15 1.3964847931e+13 51.8811915787
2.101 1.37234615803e-19 -6.60433687076e-19 -5.23199071272e-19 7.59114993087e-15 1.39771315256e+13 61.4359674391
