time     ke      pe    etot  momentum diffCoeff temp 
0.0 3.83772369259e-19 -7.23949736048e-19 -3.40177366788e-19 -1.19348975147e-15 0.0 171.803787578
0.1 1.43278416103e-19 -6.02236693988e-19 -4.58958277885e-19 -2.77555756156e-16 1.33552998936e+14 64.1416019924
0.201 1.62975794505e-19 -6.1100365434e-19 -4.48027859835e-19 -1.81799020282e-15 1.0973632042e+14 72.9595484781
0.3 1.86947780486e-19 -6.21740016369e-19 -4.34792235883e-19 1.15879528195e-15 7.23912371637e+13 83.6911131171
0.4 2.2011609407e-19 -6.37116433555e-19 -4.17000339485e-19 -2.91433543964e-15 4.66760984345e+13 98.5396075834
0.5 2.02954496651e-19 -6.2723048524e-19 -4.24275988589e-19 -4.10782519111e-15 3.53957382281e+13 90.8568568862
0.6 2.17911356322e-19 -6.33576492662e-19 -4.1566513634e-19 -5.55111512313e-15 2.77912284648e+13 97.5526102742
0.7 2.15234230315e-19 -6.31113296213e-19 -4.15879065898e-19 -4.94049245958e-15 2.34297338525e+13 96.3541384074
0.8 2.10909251141e-19 -6.27770287054e-19 -4.16861035913e-19 -4.10782519111e-15 2.19705070806e+13 94.4179703486
0.901 2.13333300361e-19 -6.27840215469e-19 -4.14506915107e-19 -5.49560397189e-15 2.09186783043e+13 95.5031470593
1.001 2.19603483996e-19 -6.29830527579e-19 -4.10227043583e-19 -2.55351295664e-15 2.06181081547e+13 98.3101268825
1.101 1.89226516554e-19 -6.13443070572e-19 -4.24216554018e-19 -2.24820162487e-15 2.04468884698e+13 84.7112373332
1.201 2.19239676508e-19 -6.2698576736e-19 -4.07746090852e-19 -4.4408920985e-15 1.73568882498e+13 98.1472607949
1.301 2.36753150984e-19 -6.34431295201e-19 -3.97678144217e-19 -6.77236045021e-15 1.50317675302e+13 105.987536671
1.401 2.13130188112e-19 -6.21332150368e-19 -4.08201962256e-19 -6.63358257214e-15 1.51219668646e+13 95.4122195809
1.501 2.1587969471e-19 -6.21558691561e-19 -4.05678996851e-19 -4.9682480352e-15 1.4753621357e+13 96.6430941444
1.601 2.31300239041e-19 -6.27988703595e-19 -3.96688464553e-19 -5.82867087928e-15 1.39122090886e+13 103.546425741
1.701 2.26423769844e-19 -6.24286071743e-19 -3.97862301899e-19 -3.5527136788e-15 1.41569743553e+13 101.363371553
1.801 2.20078138703e-19 -6.19767645852e-19 -3.99689507149e-19 -1.00197627972e-14 1.47805520298e+13 98.5226160638
1.901 2.29568423333e-19 -6.2326952939e-19 -3.93701106057e-19 -1.07691633389e-14 1.51708644951e+13 102.771141948
2.001 2.1495659691e-19 -6.14674418156e-19 -3.99717821246e-19 -1.18793863635e-14 1.56717436969e+13 96.2298499639
2.101 2.15458369508e-19 -6.1368972599e-19 -3.98231356482e-19 -8.40993941154e-15 1.52414684777e+13 96.45447904
2.201 2.11126755893e-19 -6.10178139445e-19 -3.99051383552e-19 -1.12132525487e-14 1.39233224537e+13 94.5153409339
2.301 2.63256657304e-19 -6.34995526124e-19 -3.71738868821e-19 -1.64868119157e-14 1.21209212929e+13 117.852389731
2.401 2.36694347879e-19 -6.20341905692e-19 -3.83647557813e-19 -1.42663658664e-14 1.23612781564e+13 105.961212222
2.501 2.31932822923e-19 -6.16590707115e-19 -3.84657884192e-19 -1.65145674913e-14 1.29125516321e+13 103.829615245
2.601 2.35915386526e-19 -6.17221287709e-19 -3.81305901183e-19 -1.64868119157e-14 1.30939245105e+13 105.612493759
2.701 2.27153572885e-19 -6.11505975185e-19 -3.843524023e-19 -1.41275879884e-14 1.34313235943e+13 101.690083262
2.801 2.39705450056e-19 -6.16455305695e-19 -3.76749855639e-19 -1.72084568817e-14 1.3542073713e+13 107.309195558
2.901 2.2380008431e-19 -6.07213623796e-19 -3.83413539486e-19 -1.48492329544e-14 1.34603826172e+13 100.18882344
3.001 2.47508290732e-19 -6.17660930195e-19 -3.70152639462e-19 -1.67921232475e-14 1.26490890026e+13 110.802301601
3.101 2.55041839943e-19 -6.19975574831e-19 -3.64933734889e-19 -1.43218770177e-14 1.23197105825e+13 114.174853645
3.201 2.47483540587e-19 -6.147646324e-19 -3.67281091813e-19 -1.06928355059e-14 1.27113500142e+13 110.791221677
3.301 2.26141354803e-19 -6.02599966423e-19 -3.76458611619e-19 -1.0325074129e-14 1.32267093957e+13 101.236942509
3.401 2.45977446744e-19 -6.11026731316e-19 -3.65049284572e-19 -7.13318293322e-15 1.30190175157e+13 110.116987033
3.501 2.65698517247e-19 -6.19505086586e-19 -3.5380656934e-19 -8.85402862139e-15 1.2747206368e+13 118.945539787
3.601 2.62142836645e-19 -6.16344919014e-19 -3.54202082369e-19 -1.32532873565e-14 1.3298733493e+13 117.353764444
3.701 2.2745728516e-19 -5.97473252246e-19 -3.70015967086e-19 -1.0616507673e-14 1.42965925914e+13 101.826046461
3.801 2.35654242228e-19 -5.99914251018e-19 -3.64260008789e-19 -1.35447209004e-14 1.42460884266e+13 105.495587011
3.9 2.56171560046e-19 -6.08665386875e-19 -3.52493826828e-19 -1.68406955048e-14 1.33563476e+13 114.680596653
4.0 2.83049845908e-19 -6.20582724438e-19 -3.3753287853e-19 -1.82076576039e-14 1.25226756223e+13 126.713227673
4.1 2.77677609765e-19 -6.16378181296e-19 -3.38700571532e-19 -2.18713935851e-14 1.28180771146e+13 124.308232965
4.2 2.46464656717e-19 -5.99166413523e-19 -3.52701756806e-19 -2.00117700189e-14 1.37551084245e+13 110.335096844
4.3 2.56537567972e-19 -6.0244785145e-19 -3.45910283477e-19 -1.99076866103e-14 1.41518026877e+13 114.844447814
4.4 2.6317979854e-19 -6.04255133877e-19 -3.41075335336e-19 -1.55431223448e-14 1.43457085915e+13 117.817982286
4.5 2.55204648554e-19 -5.98732743425e-19 -3.43528094871e-19 -1.69309011255e-14 1.44933287776e+13 114.24773835
4.6 2.7438126414e-19 -6.06776641826e-19 -3.32395377686e-19 -1.67921232475e-14 1.45041987118e+13 122.832554388
4.7 2.59507542814e-19 -5.97739467341e-19 -3.38231924526e-19 -1.08246744901e-14 1.47556564426e+13 116.174019632
4.8 2.79779805879e-19 -6.06135472626e-19 -3.26355666747e-19 -1.31630817357e-14 1.46390094976e+13 125.24932535
4.9 2.68439608322e-19 -5.98899738187e-19 -3.30460129865e-19 -1.28230759344e-14 1.46625474915e+13 120.172646965
5.0 2.73346725331e-19 -5.99709162691e-19 -3.2636243736e-19 -1.54459778301e-14 1.47153089476e+13 122.369421292
5.1 2.69544322524e-19 -5.96089274724e-19 -3.26544952199e-19 -9.82547376793e-15 1.47051974405e+13 120.667195555
5.2 3.06515955831e-19 -6.12990484825e-19 -3.06474528994e-19 -7.60502771868e-15 1.45304157875e+13 137.218326235
5.3 2.72041483022e-19 -5.93834067556e-19 -3.21792584534e-19 -7.43849426499e-15 1.48010053088e+13 121.785102069
5.4 2.92951949951e-19 -6.0238665841e-19 -3.09434708459e-19 -6.77236045021e-15 1.49836668244e+13 131.146113195
5.5 2.82833284253e-19 -5.95578813236e-19 -3.12745528982e-19 -1.0616507673e-14 1.53988537417e+13 126.616279285
5.6 2.60960335519e-19 -5.8280797291e-19 -3.21847637391e-19 -4.9682480352e-15 1.58293032865e+13 116.824392899
5.7 3.04567739566e-19 -6.02792533342e-19 -2.98224793775e-19 -8.82627304577e-15 1.57823625592e+13 136.346166173
5.8 2.73895076859e-19 -5.85635024523e-19 -3.11739947664e-19 -9.9364960704e-15 1.59151016031e+13 122.614902408
5.9 3.20037598889e-19 -6.06755815796e-19 -2.86718216907e-19 -1.65076285974e-14 1.58768832838e+13 143.271574665
6.0 2.70495929263e-19 -5.80063533443e-19 -3.0956760418e-19 -1.83186799063e-14 1.62091773601e+13 121.093202363
6.1 3.24159507865e-19 -6.04841810019e-19 -2.80682302153e-19 -1.7763568394e-14 1.5997327225e+13 145.116834071
6.2 2.90292577655e-19 -5.8578576193e-19 -2.95493184275e-19 -1.67227343084e-14 1.62469564021e+13 129.955589151
6.3 3.15057452077e-19 -5.96053692906e-19 -2.80996240829e-19 -1.53488333154e-14 1.6258829503e+13 141.042107007
6.4 2.99051644108e-19 -5.85783706626e-19 -2.86732062518e-19 -1.36557432029e-14 1.65316861863e+13 133.876769811
6.5 3.04169275208e-19 -5.8619512878e-19 -2.82025853572e-19 -1.21569421196e-14 1.67790082592e+13 136.167785207
6.6 3.09499986381e-19 -5.86607759306e-19 -2.77107772925e-19 -8.71525074331e-15 1.71607948245e+13 138.554190387
6.7 2.9395507832e-19 -5.76889663872e-19 -2.82934585552e-19 -7.1054273576e-15 1.75884686494e+13 131.595184747
6.8 3.19182967017e-19 -5.87398928601e-19 -2.68215961584e-19 -8.50708392619e-15 1.75642185362e+13 142.888980699
6.9 3.17194252604e-19 -5.84472560829e-19 -2.67278308225e-19 -5.88418203051e-15 1.75921999838e+13 141.998690788
7.0 3.23241550265e-19 -5.85342339289e-19 -2.62100789023e-19 -6.3976601794e-15 1.76691830698e+13 144.705891009
7.1 3.3479100822e-19 -5.8894189151e-19 -2.5415088329e-19 -7.52176099184e-15 1.78383005487e+13 149.876249221
7.2 3.250291238e-19 -5.8185590409e-19 -2.5682678029e-19 -5.96050986346e-15 1.81118939431e+13 145.506135968
7.3 3.3622244491e-19 -5.85334272503e-19 -2.49111827593e-19 -5.66213742559e-15 1.85667971576e+13 150.517062018
7.4 2.95289955504e-19 -5.62845757162e-19 -2.67555801658e-19 -6.34214902817e-15 1.92525228389e+13 132.192770645
7.5 3.2391616873e-19 -5.75200317157e-19 -2.51284148427e-19 -6.77236045021e-15 1.93909736411e+13 145.00789818
7.6 3.30344511284e-19 -5.76356243722e-19 -2.46011732438e-19 -3.60822483003e-15 1.94102147276e+13 147.885681175
7.7 3.31256576574e-19 -5.74610351571e-19 -2.43353774997e-19 9.15933995316e-16 1.94347526393e+13 148.293986421
7.8 3.7662592587e-19 -5.95143574522e-19 -2.18517648652e-19 8.881784197e-16 1.94792854616e+13 168.604531612
7.9 2.93208158126e-19 -5.50976589851e-19 -2.57768431725e-19 6.3109240056e-15 2.00448426976e+13 131.260810183
8.0 3.46356746173e-19 -5.75229242219e-19 -2.28872496045e-19 5.52335954751e-15 1.98079073517e+13 155.053895518
8.1 3.4807235241e-19 -5.73858532358e-19 -2.25786179948e-19 6.10622663544e-16 1.95111874651e+13 155.821922799
8.2 3.77688989164e-19 -5.86587378978e-19 -2.08898389814e-19 5.10702591328e-15 1.9458763479e+13 169.080434295
8.3 3.32318923831e-19 -5.61438060145e-19 -2.29119136314e-19 3.16413562018e-15 2.00114733057e+13 148.769568555
8.4 3.50892658566e-19 -5.67940240868e-19 -2.17047582303e-19 1.99840144433e-15 2.05171067608e+13 157.084492277
8.5 3.68004021154e-19 -5.74022318684e-19 -2.06018297531e-19 3.33066907388e-15 2.08339330922e+13 164.744754294
8.6 3.47716589758e-19 -5.61275581665e-19 -2.13558991907e-19 2.27595720048e-15 2.11798217561e+13 155.662658152
8.7 3.49821631606e-19 -5.5982751788e-19 -2.10005886273e-19 -5.55111512313e-17 2.1264385321e+13 156.605024491
8.8 3.75160429853e-19 -5.70070433018e-19 -1.94910003165e-19 -5.49560397189e-15 2.11805445367e+13 167.948471441
8.9 3.63940926568e-19 -5.62153322274e-19 -1.98212395706e-19 -1.24344978758e-14 2.14723372546e+13 162.925824389
9.0 3.81346450739e-19 -5.68488408468e-19 -1.87141957729e-19 -1.69031455499e-14 2.17742461449e+13 170.717774036
9.1 3.53861425253e-19 -5.52284881376e-19 -1.98423456124e-19 -1.11299858219e-14 2.21785264657e+13 158.413523239
9.2 3.61755406435e-19 -5.53756715758e-19 -1.92001309323e-19 -7.66053886991e-15 2.237347238e+13 161.94743025
9.3 3.47214681006e-19 -5.43756577283e-19 -1.96541896278e-19 -1.05748743096e-14 2.24437656478e+13 155.437968123
9.4 4.09101657167e-19 -5.72154419774e-19 -1.63052762607e-19 -1.52933221642e-14 2.22374242609e+13 183.142977024
9.5 3.89014368806e-19 -5.59590210225e-19 -1.70575841419e-19 -1.7402745911e-14 2.22753244147e+13 174.15047913
9.6 3.80339903725e-19 -5.52302596465e-19 -1.71962692741e-19 -1.01030295241e-14 2.25835271137e+13 170.267172056
9.7 3.92032632913e-19 -5.55304791189e-19 -1.63272158276e-19 -6.82787160144e-15 2.30241101542e+13 175.501668655
9.8 3.79685843342e-19 -5.46526534975e-19 -1.66840691633e-19 -4.38538094727e-15 2.34392326877e+13 169.974368144
9.9 3.62467423903e-19 -5.35210515193e-19 -1.7274309129e-19 -5.8564264549e-15 2.3716142762e+13 162.266179872
10.0 3.92447373155e-19 -5.47687816554e-19 -1.552404434e-19 -4.69069227904e-15 2.36803444079e+13 175.687335863
10.1 4.31322912958e-19 -5.64357570202e-19 -1.33034657244e-19 -5.89805981832e-15 2.36602356774e+13 193.090790404
10.2 3.8997862008e-19 -5.40676668565e-19 -1.50698048485e-19 -2.1371793224e-15 2.40166680381e+13 174.58214653
10.3 4.38165242053e-19 -5.61739787055e-19 -1.23574545002e-19 -4.0800696155e-15 2.42161131409e+13 196.153903198
10.4 3.78024539987e-19 -5.28768033331e-19 -1.50743493344e-19 -3.71924713249e-15 2.46701900445e+13 169.230650692
10.5 3.9316342327e-19 -5.33235282724e-19 -1.40071859455e-19 0.0 2.4756753078e+13 176.007890785
10.6 4.45110188182e-19 -5.5616335862e-19 -1.11053170439e-19 2.77555756156e-16 2.4655019076e+13 199.26295467
10.7 4.08920639496e-19 -5.34770489321e-19 -1.25849849825e-19 5.24580379135e-15 2.48868542123e+13 183.06194065
10.8 4.39306092361e-19 -5.46809994254e-19 -1.07503901893e-19 -3.88578058619e-15 2.50250694496e+13 196.664628878
10.9 4.16852907718e-19 -5.32228439154e-19 -1.15375531436e-19 -3.60822483003e-15 2.53839234682e+13 186.612987661
11.0 4.41603569947e-19 -5.41586871017e-19 -9.99833010693e-20 -1.83186799063e-15 2.57237281862e+13 197.693143129
11.1 4.16847989529e-19 -5.26049042579e-19 -1.0920105305e-19 2.69229083472e-15 2.61295214072e+13 186.610785929
11.2 4.75858508667e-19 -5.52577878688e-19 -7.67193700207e-20 5.80785419757e-15 2.63763026794e+13 213.028088234
11.3 3.74846003762e-19 -4.98963059436e-19 -1.24117055674e-19 4.0800696155e-15 2.70045311603e+13 167.807711976
11.4 4.226482287e-19 -5.19486024307e-19 -9.68377956069e-20 3.38618022511e-15 2.70703568677e+13 189.207385212
11.5 4.56953702752e-19 -5.33483764828e-19 -7.65300620762e-20 1.88737914186e-15 2.69059916767e+13 204.564953522
11.6 4.60281099537e-19 -5.31900862499e-19 -7.16197629623e-20 -2.22044604925e-16 2.6957891091e+13 206.054532805
11.7 4.31541740788e-19 -5.14241844181e-19 -8.27001033927e-20 -1.66533453694e-15 2.71873013992e+13 193.188753293
11.8 4.73439203626e-19 -5.3152629576e-19 -5.80870921332e-20 2.83106871279e-15 2.7191189676e+13 211.945035355
11.9 4.7533004244e-19 -5.29007090752e-19 -5.36770483116e-20 4.66293670343e-15 2.73838399634e+13 212.791509192
12.0 4.82615514127e-19 -5.29185347973e-19 -4.65698338467e-20 1.55431223448e-15 2.77519914011e+13 216.053004105
12.1 4.56021366868e-19 -5.12363764136e-19 -5.63423972677e-20 7.77156117238e-16 2.82269197474e+13 204.147573719
12.2 4.70623882155e-19 -5.16002098336e-19 -4.53782161809e-20 1.99840144433e-15 2.84459009558e+13 210.684697377
12.3 4.39067033587e-19 -4.96199345667e-19 -5.71323120799e-20 4.94049245958e-15 2.83596627219e+13 196.55760918
12.4 5.23428997956e-19 -5.34544465563e-19 -1.11154676063e-20 2.21767049169e-14 2.80295704356e+13 234.324020124
12.5 4.84730609771e-19 -5.11541823185e-19 -2.68112134141e-20 1.70696790036e-14 2.82640027341e+13 216.999871238
12.6 5.33627005524e-19 -5.32129228528e-19 1.4977769967e-21 2.84217094304e-14 2.84592488931e+13 238.889373094
12.7 4.89762847607e-19 -5.06056093939e-19 -1.62932463317e-20 3.07531777821e-14 2.90682600258e+13 219.252658539
12.8 4.69832863535e-19 -4.92115208544e-19 -2.22823450083e-20 2.94764213038e-14 2.97450121568e+13 210.330581224
12.9 4.70328662584e-19 -4.88481376386e-19 -1.81527138016e-20 2.40727576761e-14 3.01651942583e+13 210.552536115
13.0 4.92844273618e-19 -4.95894440365e-19 -3.05016674666e-21 2.47024622979e-14 3.01905103477e+13 220.632123822
13.1 5.28046794167e-19 -5.09425771282e-19 1.8621022885e-20 2.41612285734e-14 3.00131960455e+13 236.391273899
13.2 5.45379272925e-19 -5.13992633363e-19 3.13866395622e-20 2.63261634714e-14 3.00110197357e+13 244.150523228
13.3 5.39697511406e-19 -5.0697144588e-19 3.2726065526e-20 2.94209101526e-14 3.03428211454e+13 241.606962964
13.4 5.17269613145e-19 -4.92109689352e-19 2.51599237924e-20 2.975397706e-14 3.09518874753e+13 231.566641728
13.5 4.9798578383e-19 -4.78248440407e-19 1.97373434231e-20 3.44724249146e-14 3.15925499028e+13 222.933829205
13.6 4.95341478905e-19 -4.72580593924e-19 2.27608849805e-20 3.95239396767e-14 3.18809663937e+13 221.750050387
