time     ke      pe    etot  momentum diffCoeff temp 
0.0 3.08542339414e-19 -7.10822814212e-19 -4.02280474798e-19 1.14491749414e-15 0.0 138.125479544
0.1 1.7645189698e-19 -6.43998665152e-19 -4.67546768172e-19 5.25274268526e-15 1.2378534245e+14 78.9924097065
0.201 1.07027457695e-19 -6.08900435825e-19 -5.0187297813e-19 5.6898930012e-15 1.37207644967e+14 47.9130966162
0.3 1.38289648953e-19 -6.23853013822e-19 -4.85563364869e-19 5.80091530367e-15 1.07125325704e+14 61.908275259
0.4 1.39346169267e-19 -6.23827412275e-19 -4.84481243008e-19 5.34294830601e-15 7.96646656772e+13 62.3812488396
0.5 1.68044887265e-19 -6.37587631084e-19 -4.69542743819e-19 5.93969318174e-15 5.5705809513e+13 75.2288346633
0.6 1.75420838829e-19 -6.40666473664e-19 -4.65245634836e-19 5.27355936697e-15 4.05403765814e+13 78.5308347995
0.7 1.71258945025e-19 -6.37982696663e-19 -4.66723751638e-19 6.68909372337e-15 3.2381304623e+13 76.6676753429
0.8 1.71947802538e-19 -6.37717407425e-19 -4.65769604888e-19 5.27355936697e-15 2.6972821745e+13 76.9760569234
0.901 1.85031862926e-19 -6.43620787644e-19 -4.58588924718e-19 7.77156117238e-15 2.33709650949e+13 82.8334122509
1.001 1.68602256356e-19 -6.34748910842e-19 -4.66146654485e-19 7.89646126265e-15 2.33836176439e+13 75.4783526813
1.101 1.61525348447e-19 -6.30637188402e-19 -4.69111839955e-19 8.32667268469e-15 2.3398279743e+13 72.310225738
1.201 1.72100844418e-19 -6.35255443298e-19 -4.6315459888e-19 1.04083408559e-14 2.24389107841e+13 77.044569346
1.301 1.5409423066e-19 -6.25591739095e-19 -4.71497508434e-19 9.78384040451e-15 2.16997089353e+13 68.9835292794
1.401 1.76004565022e-19 -6.35896397222e-19 -4.598918322e-19 1.36557432029e-14 1.90338979314e+13 78.7921521298
1.501 1.73245981216e-19 -6.33798080024e-19 -4.60552098808e-19 1.33781874467e-14 1.66699393391e+13 77.5572139627
1.601 1.8337038833e-19 -6.38230069203e-19 -4.54859680873e-19 1.34614541736e-14 1.48935614252e+13 82.089618139
1.701 1.80893718779e-19 -6.36320529323e-19 -4.55426810545e-19 1.57027169045e-14 1.41851903832e+13 80.9808848283
1.801 1.7196758896e-19 -6.31210929251e-19 -4.59243340291e-19 1.54876111935e-14 1.41541616686e+13 76.9849147322
1.901 1.69165129198e-19 -6.29070106484e-19 -4.59904977286e-19 1.83741910575e-14 1.39461270479e+13 75.7303345692
2.001 1.83915828255e-19 -6.35773773728e-19 -4.51857945474e-19 1.67921232475e-14 1.323791844e+13 82.3337958142
2.101 1.66723121435e-19 -6.26481756882e-19 -4.59758635448e-19 1.42108547152e-14 1.285504079e+13 74.6371183382
2.201 1.73096149981e-19 -6.29056093415e-19 -4.55959943433e-19 1.70974345792e-14 1.18537595536e+13 77.4901388534
2.301 1.95428103131e-19 -6.3956459579e-19 -4.44136492659e-19 1.41275879884e-14 1.06457522088e+13 87.4875082381
2.401 1.84451649291e-19 -6.33370908611e-19 -4.48919259321e-19 1.57929225253e-14 1.07103171055e+13 82.5736673913
2.501 1.70154130917e-19 -6.25565669554e-19 -4.55411538637e-19 1.58206781009e-14 1.11387979127e+13 76.173082028
2.601 1.84391248173e-19 -6.31946223831e-19 -4.47554975659e-19 1.81521464526e-14 1.09571677958e+13 82.5466275581
2.701 1.70838381169e-19 -6.24423648798e-19 -4.53585267629e-19 1.77913239696e-14 1.07878142639e+13 76.479401071
2.801 1.78283097113e-19 -6.27416263344e-19 -4.4913316623e-19 1.77358128184e-14 1.00246112623e+13 79.8121850313
2.901 1.84400981663e-19 -6.29781959788e-19 -4.45380978124e-19 2.00395255945e-14 9.11094031149e+12 82.5509849604
3.001 1.9655229444e-19 -6.35147337892e-19 -4.38595043452e-19 2.35367281221e-14 8.51232150277e+12 87.9907761655
3.101 1.71887684826e-19 -6.22064197507e-19 -4.50176512681e-19 1.97064586871e-14 8.50278756636e+12 76.9491439629
3.201 1.88422393888e-19 -6.29610497505e-19 -4.41188103617e-19 2.1732615707e-14 7.98955980775e+12 84.351254878
3.301 1.94936732439e-19 -6.32184463808e-19 -4.37247731369e-19 2.27595720048e-14 7.50082564204e+12 87.2675357941
3.401 1.84244032668e-19 -6.26118458965e-19 -4.41874426297e-19 2.22044604925e-14 7.41757948998e+12 82.4807234355
3.501 1.95066221055e-19 -6.30832017605e-19 -4.3576579655e-19 2.45359288442e-14 7.27306921097e+12 87.3255041017
3.601 1.81889679925e-19 -6.23456656067e-19 -4.41566976142e-19 2.90878432452e-14 7.30669589274e+12 81.4267478216
3.701 1.9438014867e-19 -6.29032075627e-19 -4.34651926958e-19 2.98094882112e-14 7.09695236489e+12 87.0183693421
3.801 2.00443199163e-19 -6.31310411565e-19 -4.30867212402e-19 3.09197112358e-14 7.1233229959e+12 89.7326216503
3.9 1.75177704267e-19 -6.17938883267e-19 -4.42761179e-19 3.06976666309e-14 7.55450253248e+12 78.42199049
4.0 1.81682563315e-19 -6.2046088451e-19 -4.38778321195e-19 3.26821902874e-14 7.29621983559e+12 81.334027707
4.1 2.1408088284e-19 -6.35894694098e-19 -4.21813811259e-19 3.06560332675e-14 6.63044132074e+12 95.8378181081
4.2 1.89821064486e-19 -6.22991615699e-19 -4.33170551214e-19 3.27515792264e-14 6.72463940983e+12 84.9773992425
4.3 1.88258608607e-19 -6.21456700651e-19 -4.33198092043e-19 3.17315618226e-14 6.75608010052e+12 84.2779329459
4.4 1.88531995807e-19 -6.20839605912e-19 -4.32307610105e-19 3.20160564726e-14 6.43595264274e+12 84.4003204865
4.5 2.10562326988e-19 -6.31067607199e-19 -4.20505280211e-19 3.06282776918e-14 6.00438706371e+12 94.2626624415
4.6 2.01630128357e-19 -6.25813550809e-19 -4.24183422451e-19 3.13082892944e-14 6.14848244811e+12 90.2639755138
4.7 1.91557239108e-19 -6.1999104001e-19 -4.28433800902e-19 3.05588887528e-14 6.54363912263e+12 85.7546343953
4.8 1.87347063108e-19 -6.17069285233e-19 -4.29722222125e-19 2.90600876696e-14 6.61806036917e+12 83.8698603959
4.9 1.98692414489e-19 -6.21908623679e-19 -4.23216209189e-19 2.89906987305e-14 6.17871966707e+12 88.9488460001
5.0 2.10525860679e-19 -6.27049383388e-19 -4.16523522709e-19 3.15858450506e-14 5.71779215621e+12 94.2463375297
