time     ke      pe    etot  momentum diffCoeff temp 
0.0 2.63291176873e-22 -7.10812495187e-19 -7.1054920401e-19 -3.94649590785e-17 0.0 0.117867843144
0.1 2.38527976492e-22 -7.10799458693e-19 -7.10560930716e-19 -1.69135538908e-17 128276600246.0 0.106782074707
0.201 1.02134419309e-22 -7.10730959065e-19 -7.10628824645e-19 5.59448321003e-17 193839884612.0 0.0457226248813
0.3 1.19901594642e-22 -7.10739704051e-19 -7.10619802456e-19 4.90059381963e-17 177754780335.0 0.0536764752915
0.4 2.16373267816e-22 -7.10787515502e-19 -7.10571142235e-19 1.47017814589e-16 141191733593.0 0.0968640525455
0.5 2.19381909135e-22 -7.10788501147e-19 -7.10569119238e-19 3.24393290008e-16 124492097695.0 0.0982109342273
0.6 2.00434727133e-22 -7.10778664551e-19 -7.10578229824e-19 3.25694332615e-16 119149200900.0 0.0897288289675
0.7 2.36245177273e-22 -7.10796171561e-19 -7.10559926384e-19 2.61075883135e-16 115363912392.0 0.105760131536
0.8 2.26486893231e-22 -7.10790751634e-19 -7.1056426474e-19 2.18575157973e-16 117119722457.0 0.101391630067
0.901 1.5883559826e-22 -7.10756483509e-19 -7.10597647911e-19 1.07552855511e-16 118939738413.0 0.0711061023909
1.001 1.77018380926e-22 -7.10765269202e-19 -7.10588250821e-19 1.09287578987e-16 109766477441.0 0.0792460081812
1.101 2.55009549088e-22 -7.10803781764e-19 -7.10548772215e-19 9.19403442268e-17 94887076279.2 0.114160397963
1.201 2.57219204595e-22 -7.10804323252e-19 -7.10547104047e-19 5.20417042793e-17 85944555600.7 0.11514959681
1.301 2.16930294133e-22 -7.10783753476e-19 -7.10566823182e-19 9.02056207508e-17 82502740797.0 0.0971134171137
1.401 2.20566239263e-22 -7.10785166874e-19 -7.10564600634e-19 -1.47451495458e-17 79031199001.3 0.098741124564
1.501 2.31644751595e-22 -7.10790222714e-19 -7.10558577962e-19 -4.72712147204e-17 75352197412.4 0.103700654045
1.601 2.06007307588e-22 -7.10776907882e-19 -7.10570900575e-19 2.16840434497e-17 72120861567.7 0.0922235120279
1.701 1.86876328669e-22 -7.10766916084e-19 -7.10580039756e-19 -5.06322414551e-17 66713787358.2 0.0836591262056
1.801 2.10605678241e-22 -7.10778365808e-19 -7.1056776013e-19 -7.8062556419e-18 57787136587.0 0.0942820695434
1.901 2.45810169127e-22 -7.10795485377e-19 -7.10549675207e-19 5.37764277553e-17 48115682704.5 0.110042101683
2.001 2.47089669358e-22 -7.10795611934e-19 -7.10548522264e-19 1.04083408559e-16 41125938410.2 0.110614896922
2.101 2.14932678269e-22 -7.10779068117e-19 -7.10564135439e-19 5.03069808033e-17 36976506505.6 0.09621914228
2.201 2.09260653698e-22 -7.10775856027e-19 -7.10566595373e-19 1.49186218934e-16 33307660899.1 0.0936799409654
2.301 2.42029499837e-22 -7.10791804247e-19 -7.10549774748e-19 4.51028103754e-17 29847278201.6 0.108349605413
2.401 2.50286555678e-22 -7.10795445939e-19 -7.10545159383e-19 -6.85215773011e-17 28862021472.6 0.112046050445
2.501 2.18530364342e-22 -7.10779103521e-19 -7.10560573157e-19 -1.83880688454e-16 30640220642.4 0.0978297222578
2.601 2.12700859104e-22 -7.10775805216e-19 -7.10563104357e-19 -1.64798730218e-16 32823902924.8 0.0952200214043
2.701 2.3892189604e-22 -7.10788433007e-19 -7.10549511111e-19 -2.41126563161e-16 34644099705.8 0.106958421093
2.801 2.2086357439e-22 -7.1077886553e-19 -7.10558001956e-19 -2.22044604925e-16 37025757427.3 0.0988742328988
2.901 2.02082446999e-22 -7.10769071938e-19 -7.10566989491e-19 -1.61329283266e-16 38719055537.1 0.0904664654844
3.001 2.49538463282e-22 -7.10792369533e-19 -7.1054283107e-19 9.10729824888e-18 38780047517.3 0.111711151121
3.101 2.62890941931e-22 -7.10798437284e-19 -7.10535546342e-19 1.38777878078e-17 39449860603.8 0.117688669538
3.201 1.91507363628e-22 -7.10762226983e-19 -7.10570719619e-19 -1.27502175484e-16 40933164230.6 0.0857323065856
3.301 1.83338799189e-22 -7.10757803219e-19 -7.1057446442e-19 -1.04083408559e-16 39745660379.2 0.0820754765943
3.401 2.64014066549e-22 -7.10797669191e-19 -7.10533655124e-19 -6.41847686111e-17 35747952599.1 0.118191459939
3.501 2.72237933858e-22 -7.10801146056e-19 -7.10528908122e-19 -9.62771529167e-17 32755975382.2 0.121873047425
3.601 2.02334621613e-22 -7.10765709089e-19 -7.10563374467e-19 -2.77555756156e-17 31280574195.8 0.0905793567642
3.701 1.98713783127e-22 -7.10763531243e-19 -7.1056481746e-19 -9.36750677027e-17 28524697757.7 0.0889584121212
3.801 2.48275252111e-22 -7.10787816708e-19 -7.10539541456e-19 -4.85722573274e-17 24504395106.9 0.111145648023
3.9 2.37483129043e-22 -7.10781855942e-19 -7.10544372813e-19 7.6327832943e-17 21394146547.6 0.10631432673
4.0 2.10333812638e-22 -7.10767862213e-19 -7.10557528401e-19 1.05818132035e-16 18993088165.7 0.0941603631778
4.1 2.38789024247e-22 -7.10781672227e-19 -7.10542883203e-19 1.41379963292e-16 16567125548.7 0.106898938235
4.2 2.5483885231e-22 -7.10789185342e-19 -7.1053434649e-19 4.29344060304e-17 15218395333.6 0.114083981954
4.3 2.31950503077e-22 -7.10777257953e-19 -7.1054530745e-19 1.06034972469e-16 15511960443.9 0.103837530139
4.4 2.26287266107e-22 -7.10773996948e-19 -7.10547709682e-19 1.99493199737e-16 16486033817.4 0.101302262779
4.5 2.40982392683e-22 -7.10780867417e-19 -7.10539885024e-19 2.04697370165e-16 17689137554.6 0.107880845832
4.6 2.39111799963e-22 -7.10779426662e-19 -7.10540314863e-19 1.78676518026e-16 19365320442.6 0.107043435586
4.7 2.36945741784e-22 -7.10777843252e-19 -7.1054089751e-19 7.97972798949e-17 21317418409.9 0.106073754001
4.8 2.31846898641e-22 -7.10774755712e-19 -7.10542908813e-19 1.04950770297e-16 23238497610.6 0.10379114943
4.9 2.06127834897e-22 -7.10761367084e-19 -7.10555239249e-19 1.32272665043e-16 24625152066.3 0.0922774686174
5.0 2.15171534189e-22 -7.10765442872e-19 -7.10550271337e-19 1.56125112838e-16 24581057605.2 0.0963260711658
