time     ke      pe    etot  momentum diffCoeff temp 
0.0 4.114674999e-20 -7.10789078756e-19 -6.69642328766e-19 4.85722573274e-16 0.0 18.4202096374
0.11 2.30473579802e-20 -7.00891875441e-19 -6.77844517461e-19 1.38777878078e-16 2.10932400884e+13 10.3176354314
0.21 1.01977378236e-20 -6.94242033713e-19 -6.8404429589e-19 4.02455846427e-16 2.30543862656e+13 4.56523221358
0.31 2.02964794013e-20 -6.9873826913e-19 -6.78441789729e-19 2.49800180541e-16 1.74992484372e+13 9.08614667174
0.41 2.18600112262e-20 -6.98858360409e-19 -6.76998349182e-19 2.63677968348e-16 1.31283683315e+13 9.78609463839
0.5 2.2225247016e-20 -6.98622668491e-19 -6.76397421475e-19 7.00828284295e-16 1.02511224259e+13 9.94960013559
0.6 2.68663916676e-20 -7.0036610172e-19 -6.73499710053e-19 9.50628464835e-16 7.739772886e+12 12.0273063326
0.7 2.5619292497e-20 -6.99078446413e-19 -6.73459153916e-19 1.30451205393e-15 6.45252694434e+12 11.4690161112
0.8 2.19029799762e-20 -6.96664028643e-19 -6.74761048667e-19 1.58206781009e-15 5.54420765631e+12 9.80533050472
0.9 2.66714854211e-20 -6.9848366429e-19 -6.71812178869e-19 1.49880108324e-15 4.1979520503e+12 11.9400524444
